"","case_id","num_HH_members","psu","state","wealth_idx","district","HH_head_religion","HH_head_caste","HH_member_idx","sex","age","edu_lvl","birth_cert","has_aadhaar","mother_edu_lvl"
"31"," 34000380",10,340003,"uttarakhand","richer","udham singh nagar","hindu","scheduled caste",5,"male","4","no education, preschool","has certificate","no","secondary"
"32"," 34000380",10,340003,"uttarakhand","richer","udham singh nagar","hindu","scheduled caste",6,"male","2","no education, preschool","has certificate","no","secondary"
"33"," 34000380",10,340003,"uttarakhand","richer","udham singh nagar","hindu","scheduled caste",9,"female","2","no education, preschool","has certificate","no","secondary"
"34"," 34000380",10,340003,"uttarakhand","richer","udham singh nagar","hindu","scheduled caste",10,"female","0","no education, preschool","has certificate","no","secondary"
"35"," 34000390",4,340003,"uttarakhand","middle","udham singh nagar","hindu","don't know",4,"female","4","no education, preschool","registered","no","secondary"
"36"," 34000409",5,340004,"uttarakhand","middle","almora","hindu","none of above",4,"female","0","no education, preschool","has certificate","no","secondary"
"37"," 34000411",4,340004,"uttarakhand","richer","almora","hindu","none of above",4,"male","0","no education, preschool","has certificate","no","higher"
"38"," 34000415",6,340004,"uttarakhand","poorer","almora","hindu","none of above",3,"male","2","no education, preschool","has certificate","no","secondary"
"39"," 34000477",9,340004,"uttarakhand","poorer","almora","hindu","scheduled caste",6,"male","1","no education, preschool","neither certificate or registered","no","no education"
"40"," 34000477",9,340004,"uttarakhand","poorer","almora","hindu","scheduled caste",8,"female","3","no education, preschool","neither certificate or registered","no","no education"
"41"," 34000477",9,340004,"uttarakhand","poorer","almora","hindu","scheduled caste",9,"female","0","no education, preschool","neither certificate or registered","no","no education"
"42"," 34000486",6,340004,"uttarakhand","poorer","almora","hindu","none of above",5,"female","3","no education, preschool","has certificate","no","secondary"
"43"," 34000486",6,340004,"uttarakhand","poorer","almora","hindu","none of above",6,"female","0","no education, preschool","has certificate","no","secondary"
"44"," 34000515",9,340005,"uttarakhand","richer","chamoli","hindu","none of above",6,"female","4","no education, preschool","has certificate","no","secondary"
"45"," 34000515",9,340005,"uttarakhand","richer","chamoli","hindu","none of above",7,"male","1","no education, preschool","has certificate","no","secondary"
"46"," 34000553",6,340005,"uttarakhand","richest","chamoli","hindu","none of above",5,"male","4","no education, preschool","has certificate","no","secondary"
"47"," 34000553",6,340005,"uttarakhand","richest","chamoli","hindu","none of above",6,"female","0","no education, preschool","has certificate","no","secondary"
"48"," 34000572",8,340005,"uttarakhand","middle","chamoli","hindu","none of above",5,"female","4","no education, preschool","has certificate","no","secondary"
"49"," 34000572",8,340005,"uttarakhand","middle","chamoli","hindu","none of above",6,"female","1","no education, preschool","has certificate","no","secondary"
"50"," 34000572",8,340005,"uttarakhand","middle","chamoli","hindu","none of above",7,"male","0","no education, preschool","has certificate","no","secondary"
"51"," 34000573",4,340005,"uttarakhand","richer","chamoli","hindu","scheduled caste",4,"male","1","no education, preschool","has certificate","no","secondary"
"52"," 34000584",9,340005,"uttarakhand","richest","chamoli","hindu","none of above",7,"male","3","no education, preschool","has certificate","no","higher"
"53"," 34000586",4,340005,"uttarakhand","middle","chamoli","hindu","none of above",4,"female","1","no education, preschool","has certificate","no","secondary"
"54"," 34000602",4,340006,"uttarakhand","richest","champawat","hindu","none of above",4,"male","3","no education, preschool","has certificate","no","higher"
"55"," 34000621",4,340006,"uttarakhand","richest","champawat","hindu","other backward class",3,"male","3","no education, preschool","registered","no","higher"
"56"," 34000621",4,340006,"uttarakhand","richest","champawat","hindu","other backward class",4,"male","2","no education, preschool","registered","no","higher"
"57"," 34000712",6,340007,"uttarakhand","poorer","champawat","hindu","scheduled caste",5,"male","2","no education, preschool","has certificate","no","secondary"
"58"," 34000712",6,340007,"uttarakhand","poorer","champawat","hindu","scheduled caste",6,"male","0","no education, preschool","has certificate","no","secondary"
"59"," 34000772",5,340007,"uttarakhand","poorer","champawat","hindu","none of above",4,"male","3","no education, preschool","has certificate","no","higher"
"60"," 34000772",5,340007,"uttarakhand","poorer","champawat","hindu","none of above",5,"female","0","no education, preschool","has certificate","no","higher"
"61"," 34000826",5,340008,"uttarakhand","richest","nainital","hindu","none of above",5,"male","1","no education, preschool","has certificate","no","secondary"
"62"," 34000848",3,340008,"uttarakhand","richest","nainital","hindu","none of above",3,"male","4","no education, preschool","registered","no","secondary"
"63"," 34000854",5,340008,"uttarakhand","richest","nainital","hindu","none of above",4,"male","3","no education, preschool","has certificate","no","higher"
"64"," 34000879",9,340008,"uttarakhand","richest","nainital","hindu","none of above",5,"male","3","no education, preschool","has certificate","no","secondary"
"65"," 34000879",9,340008,"uttarakhand","richest","nainital","hindu","none of above",6,"male","1","no education, preschool","has certificate","no","secondary"
"66"," 34000879",9,340008,"uttarakhand","richest","nainital","hindu","none of above",9,"female","2","no education, preschool","has certificate","no","higher"
"67"," 34000887",4,340008,"uttarakhand","richest","nainital","hindu","none of above",4,"female","2","no education, preschool","registered","no","secondary"
"68"," 34000929",7,340009,"uttarakhand","richest","bageshwar","hindu","scheduled caste",6,"female","3","no education, preschool","has certificate","no","primary"
"69"," 34000941",4,340009,"uttarakhand","middle","bageshwar","hindu","none of above",3,"male","2","no education, preschool","has certificate","no","primary"
"70"," 34000941",4,340009,"uttarakhand","middle","bageshwar","hindu","none of above",4,"male","0","no education, preschool","neither certificate or registered","no","primary"
"71"," 34000967",5,340009,"uttarakhand","middle","bageshwar","hindu","none of above",5,"male","2","no education, preschool","neither certificate or registered","no","secondary"
"72"," 34000992",5,340009,"uttarakhand","middle","bageshwar","hindu","none of above",4,"male","3","no education, preschool","has certificate","no","secondary"
"73"," 34000992",5,340009,"uttarakhand","middle","bageshwar","hindu","none of above",5,"female","0","no education, preschool","has certificate","no","secondary"
"74"," 34001054",3,340010,"uttarakhand","poorer","chamoli","hindu","none of above",3,"male","1","no education, preschool","has certificate","no","secondary"
"75"," 34001060",10,340010,"uttarakhand","poorer","chamoli","hindu","scheduled caste",5,"female","3","no education, preschool","has certificate","no","secondary"
"76"," 34001060",10,340010,"uttarakhand","poorer","chamoli","hindu","scheduled caste",6,"female","1","no education, preschool","has certificate","no","secondary"
"77"," 34001060",10,340010,"uttarakhand","poorer","chamoli","hindu","scheduled caste",7,"female","0","no education, preschool","has certificate","no","secondary"
"78"," 34001077",4,340010,"uttarakhand","poorer","chamoli","hindu","none of above",3,"male","0","no education, preschool","has certificate","no","secondary"
"79"," 34001088",6,340010,"uttarakhand","richer","chamoli","hindu","none of above",6,"female","1","no education, preschool","has certificate","no","secondary"
"80"," 34001130",3,340011,"uttarakhand","middle","garhwal","hindu","scheduled caste",3,"female","4","no education, preschool","has certificate","no","secondary"
"81"," 34001137",7,340011,"uttarakhand","middle","garhwal","hindu","scheduled caste",6,"male","2","no education, preschool","has certificate","no","no education"
"82"," 34001137",7,340011,"uttarakhand","middle","garhwal","hindu","scheduled caste",7,"female","0","no education, preschool","registered","no","no education"
"83"," 34001144",5,340011,"uttarakhand","poorer","garhwal","hindu","scheduled caste",5,"male","4","no education, preschool","has certificate","no","secondary"
"84"," 34001150",6,340011,"uttarakhand","richest","garhwal","hindu","none of above",6,"male","4","no education, preschool","has certificate","no","secondary"
"85"," 34001198",6,340011,"uttarakhand","middle","garhwal","hindu","scheduled caste",6,"male","4","no education, preschool","neither certificate or registered","no","primary"
"86"," 34001221",3,340012,"uttarakhand","poorer","chamoli","hindu","none of above",3,"male","0","no education, preschool","has certificate","no","secondary"
"87"," 34001237",3,340012,"uttarakhand","poorer","chamoli","hindu","none of above",3,"female","3","no education, preschool","don't know","no","primary"
"88"," 34001253",3,340012,"uttarakhand","poorest","chamoli","hindu","none of above",3,"male","4","no education, preschool","neither certificate or registered","no","no education"
"89"," 34001257",4,340012,"uttarakhand","poorer","chamoli","hindu","none of above",3,"male","3","no education, preschool","has certificate","no","higher"
"90"," 34001257",4,340012,"uttarakhand","poorer","chamoli","hindu","none of above",4,"female","2","no education, preschool","has certificate","no","higher"
"91"," 34001264",5,340012,"uttarakhand","poorer","chamoli","hindu","none of above",5,"female","1","no education, preschool","registered","no","no education"
"92"," 34001301",4,340013,"uttarakhand","richest","dehradun","hindu","none of above",4,"female","2","no education, preschool","has certificate","no","secondary"
"93"," 34001327",5,340013,"uttarakhand","richer","dehradun","sikh","other backward class",5,"male","3","no education, preschool","has certificate","no","secondary"
"94"," 34001342",6,340013,"uttarakhand","richest","dehradun","sikh","other backward class",5,"female","4","no education, preschool","has certificate","no","secondary"
"95"," 34001342",6,340013,"uttarakhand","richest","dehradun","sikh","other backward class",6,"male","0","no education, preschool","has certificate","no","secondary"
"96"," 34001387",4,340013,"uttarakhand","richest","dehradun","sikh","other backward class",4,"female","4","no education, preschool","has certificate","no","higher"
"97"," 34001394",13,340013,"uttarakhand","richest","dehradun","sikh","other backward class",6,"male","1","no education, preschool","has certificate","no","higher"
"98"," 34001394",13,340013,"uttarakhand","richest","dehradun","sikh","other backward class",10,"female","0","no education, preschool","has certificate","no","secondary"
"99"," 34001394",13,340013,"uttarakhand","richest","dehradun","sikh","other backward class",13,"male","1","no education, preschool","has certificate","no","secondary"
"100"," 34001397",7,340013,"uttarakhand","richest","dehradun","sikh","other backward class",7,"male","0","no education, preschool","has certificate","no","secondary"
"101"," 34001403",6,340014,"uttarakhand","richer","nainital","hindu","other backward class",5,"male","4","no education, preschool","has certificate","no","secondary"
"102"," 34001403",6,340014,"uttarakhand","richer","nainital","hindu","other backward class",6,"female","0","no education, preschool","neither certificate or registered","no","secondary"
"103"," 34001445",5,340014,"uttarakhand","poorer","nainital","hindu","scheduled caste",3,"female","4","no education, preschool","neither certificate or registered","no","primary"
"104"," 34001445",5,340014,"uttarakhand","poorer","nainital","hindu","scheduled caste",4,"female","3","no education, preschool","has certificate","no","primary"
"105"," 34001445",5,340014,"uttarakhand","poorer","nainital","hindu","scheduled caste",5,"female","1","no education, preschool","has certificate","no","primary"
"106"," 34001458",6,340014,"uttarakhand","richer","nainital","hindu","none of above",3,"male","4","no education, preschool","has certificate","no","secondary"
"107"," 34001458",6,340014,"uttarakhand","richer","nainital","hindu","none of above",4,"female","3","no education, preschool","has certificate","no","secondary"
"108"," 34001475",8,340014,"uttarakhand","richest","nainital","hindu","none of above",8,"male","0","no education, preschool","neither certificate or registered","no","secondary"
"109"," 34001477",5,340014,"uttarakhand","richest","nainital","hindu","none of above",4,"female","4","no education, preschool","has certificate","no","secondary"
"110"," 34001477",5,340014,"uttarakhand","richest","nainital","hindu","none of above",5,"male","1","no education, preschool","neither certificate or registered","no","secondary"
"111"," 34001482",9,340014,"uttarakhand","richer","nainital","hindu","none of above",4,"male","4","no education, preschool","has certificate","no","secondary"
"112"," 34001497",4,340014,"uttarakhand","poorer","nainital","hindu","none of above",4,"male","3","no education, preschool","neither certificate or registered","no","secondary"
"113"," 34001511",4,340015,"uttarakhand","richest","uttarkashi","hindu","other backward class",3,"female","4","no education, preschool","has certificate","no","higher"
"114"," 34001511",4,340015,"uttarakhand","richest","uttarkashi","hindu","other backward class",4,"male","1","no education, preschool","has certificate","no","higher"
"115"," 34001520",7,340015,"uttarakhand","richest","uttarkashi","hindu","other backward class",5,"male","2","no education, preschool","has certificate","no","secondary"
"116"," 34001587",5,340015,"uttarakhand","richer","uttarkashi","hindu","other backward class",3,"male","0","no education, preschool","has certificate","no","primary"
"117"," 34001635",13,340016,"uttarakhand","richest","dehradun","muslim","none of above",3,"male","4","no education, preschool","has certificate","no","secondary"
"118"," 34001635",13,340016,"uttarakhand","richest","dehradun","muslim","none of above",4,"female","3","no education, preschool","has certificate","no","secondary"
"119"," 34001635",13,340016,"uttarakhand","richest","dehradun","muslim","none of above",7,"female","2","no education, preschool","has certificate","no","secondary"
"120"," 34001635",13,340016,"uttarakhand","richest","dehradun","muslim","none of above",13,"male","3","no education, preschool","has certificate","no","secondary"
"121"," 34001651",7,340016,"uttarakhand","richer","dehradun","muslim","none of above",3,"male","2","no education, preschool","neither certificate or registered","no","secondary"
"122"," 34001651",7,340016,"uttarakhand","richer","dehradun","muslim","none of above",4,"male","0","no education, preschool","neither certificate or registered","no","secondary"
"123"," 34001658",5,340016,"uttarakhand","richer","dehradun","muslim","other backward class",4,"male","3","no education, preschool","neither certificate or registered","no","secondary"
"124"," 34001658",5,340016,"uttarakhand","richer","dehradun","muslim","other backward class",5,"female","0","no education, preschool","neither certificate or registered","no","secondary"
"125"," 34001678",6,340016,"uttarakhand","middle","dehradun","muslim","none of above",5,"male","4","no education, preschool","has certificate","no","no education"
"126"," 34001678",6,340016,"uttarakhand","middle","dehradun","muslim","none of above",6,"male","0","no education, preschool","has certificate","no","no education"
"127"," 34001690",3,340016,"uttarakhand","richer","dehradun","muslim","none of above",3,"female","0","no education, preschool","has certificate","no","secondary"
"128"," 34001693",7,340016,"uttarakhand","richest","dehradun","muslim","none of above",6,"male","1","no education, preschool","has certificate","no","no education"
"129"," 34001695",12,340016,"uttarakhand","richest","dehradun","muslim","other backward class",8,"male","1","no education, preschool","has certificate","no","secondary"
"130"," 34001747",5,340017,"uttarakhand","poorer","bageshwar","hindu","scheduled caste",5,"female","4","no education, preschool","has certificate","no","primary"
"131"," 34001783",5,340017,"uttarakhand","richest","bageshwar","hindu","none of above",5,"male","1","no education, preschool","don't know","no","higher"
"132"," 34001819",6,340018,"uttarakhand","richer","hardwar","hindu","none of above",5,"male","4","no education, preschool","has certificate","no","secondary"
"133"," 34001843",5,340018,"uttarakhand","richest","hardwar","hindu","none of above",4,"male","4","no education, preschool","has certificate","no","higher"
"134"," 34001843",5,340018,"uttarakhand","richest","hardwar","hindu","none of above",5,"female","1","no education, preschool","has certificate","no","higher"
"135"," 34001860",8,340018,"uttarakhand","richest","hardwar","hindu","other backward class",5,"female","4","no education, preschool","has certificate","yes","secondary"
"136"," 34001860",8,340018,"uttarakhand","richest","hardwar","hindu","other backward class",6,"male","1","no education, preschool","has certificate","no","secondary"
"137"," 34001874",7,340018,"uttarakhand","richest","hardwar","hindu","other backward class",7,"male","1","no education, preschool","has certificate","no","secondary"
"138"," 34001906",4,340019,"uttarakhand","poorer","uttarkashi","hindu","scheduled caste",4,"male","4","no education, preschool","has certificate","no","secondary"
"139"," 34001912",5,340019,"uttarakhand","middle","uttarkashi","hindu","other backward class",3,"female","2","no education, preschool","has certificate","no","secondary"
"140"," 34001940",9,340019,"uttarakhand","richest","uttarkashi","hindu","other backward class",8,"male","3","no education, preschool","registered","no","secondary"
"141"," 34001940",9,340019,"uttarakhand","richest","uttarkashi","hindu","other backward class",9,"female","1","no education, preschool","registered","no","secondary"
"142"," 34001947",8,340019,"uttarakhand","middle","uttarkashi","hindu","other backward class",5,"male","0","no education, preschool","has certificate","no","secondary"
"143"," 34001947",8,340019,"uttarakhand","middle","uttarkashi","hindu","other backward class",8,"male","0","no education, preschool","has certificate","yes","secondary"
"144"," 34001984",6,340019,"uttarakhand","richer","uttarkashi","hindu","scheduled caste",5,"female","3","no education, preschool","don't know","no","secondary"
"145"," 34001984",6,340019,"uttarakhand","richer","uttarkashi","hindu","scheduled caste",6,"female","1","no education, preschool","don't know","no","secondary"
"146"," 34001994",4,340019,"uttarakhand","poorer","uttarkashi","hindu","scheduled caste",4,"female","2","no education, preschool","neither certificate or registered","no","secondary"
"147"," 34002003",5,340020,"uttarakhand","richest","hardwar","muslim","other backward class",4,"female","4","no education, preschool","has certificate","yes","secondary"
"148"," 34002016",4,340020,"uttarakhand","richer","hardwar","hindu","none of above",4,"female","3","no education, preschool","registered","no","primary"
"149"," 34002022",16,340020,"uttarakhand","richest","hardwar","muslim","other backward class",5,"female","3","no education, preschool","has certificate","no","no education"
"150"," 34002022",16,340020,"uttarakhand","richest","hardwar","muslim","other backward class",8,"female","3","no education, preschool","has certificate","no","no education"
"151"," 34002022",16,340020,"uttarakhand","richest","hardwar","muslim","other backward class",9,"male","1","no education, preschool","has certificate","no","no education"
"152"," 34002022",16,340020,"uttarakhand","richest","hardwar","muslim","other backward class",12,"female","2","no education, preschool","has certificate","no","no education"
"153"," 34002022",16,340020,"uttarakhand","richest","hardwar","muslim","other backward class",13,"male","0","no education, preschool","has certificate","no","no education"
"154"," 34002030",10,340020,"uttarakhand","richest","hardwar","muslim","other backward class",8,"male","4","no education, preschool","neither certificate or registered","no","primary"
"155"," 34002030",10,340020,"uttarakhand","richest","hardwar","muslim","other backward class",9,"male","1","no education, preschool","neither certificate or registered","no","primary"
"156"," 34002030",10,340020,"uttarakhand","richest","hardwar","muslim","other backward class",10,"male","0","no education, preschool","neither certificate or registered","no","primary"
"157"," 34002034",7,340020,"uttarakhand","richest","hardwar","hindu","other backward class",5,"female","2","no education, preschool","has certificate","no","higher"
"158"," 34002048",4,340020,"uttarakhand","richest","hardwar","hindu","other backward class",4,"male","3","no education, preschool","has certificate","no","primary"
"159"," 34002076",3,340020,"uttarakhand","richest","hardwar","hindu","other backward class",3,"female","1","no education, preschool","has certificate","no","higher"
"160"," 34002085",5,340020,"uttarakhand","middle","hardwar","muslim","other backward class",4,"male","2","no education, preschool","has certificate","no","primary"
"161"," 34002085",5,340020,"uttarakhand","middle","hardwar","muslim","other backward class",5,"male","0","no education, preschool","has certificate","no","primary"
"162"," 34002099",8,340020,"uttarakhand","richest","hardwar","muslim","other backward class",6,"male","0","no education, preschool","has certificate","no","secondary"
"163"," 34002102",8,340021,"uttarakhand","middle","udham singh nagar","hindu","other backward class",5,"male","4","no education, preschool","registered","no","secondary"
"164"," 34002123",4,340021,"uttarakhand","middle","udham singh nagar","hindu","scheduled caste",4,"female","3","no education, preschool","has certificate","no","higher"
"165"," 34002152",5,340021,"uttarakhand","richer","udham singh nagar","hindu","scheduled caste",4,"female","3","no education, preschool","neither certificate or registered","no","primary"
"166"," 34002156",5,340021,"uttarakhand","middle","udham singh nagar","hindu","scheduled caste",4,"male","3","no education, preschool","has certificate","no","secondary"
"167"," 34002161",5,340021,"uttarakhand","richer","udham singh nagar","hindu","scheduled caste",4,"female","1","no education, preschool","has certificate","no","secondary"
"168"," 34002176",6,340021,"uttarakhand","poorer","udham singh nagar","hindu","scheduled caste",6,"female","3","no education, preschool","don't know","no","secondary"
"169"," 34002208",5,340022,"uttarakhand","richer","uttarkashi","hindu","scheduled caste",5,"male","3","no education, preschool","has certificate","no","secondary"
"170"," 34002269",8,340022,"uttarakhand","poorer","uttarkashi","hindu","scheduled caste",5,"male","3","no education, preschool","neither certificate or registered","no","secondary"
"171"," 34002269",8,340022,"uttarakhand","poorer","uttarkashi","hindu","scheduled caste",6,"male","2","no education, preschool","neither certificate or registered","no","secondary"
"172"," 34002272",7,340022,"uttarakhand","middle","uttarkashi","hindu","scheduled caste",6,"male","3","no education, preschool","has certificate","no","secondary"
"173"," 34002272",7,340022,"uttarakhand","middle","uttarkashi","hindu","scheduled caste",7,"male","1","no education, preschool","has certificate","no","secondary"
"174"," 34002274",6,340022,"uttarakhand","poorer","uttarkashi","hindu","other backward class",3,"male","4","no education, preschool","neither certificate or registered","no","secondary"
"175"," 34002274",6,340022,"uttarakhand","poorer","uttarkashi","hindu","other backward class",4,"female","0","no education, preschool","registered","no","secondary"
"176"," 34002280",5,340022,"uttarakhand","poorer","uttarkashi","hindu","scheduled caste",4,"male","3","no education, preschool","registered","no","secondary"
"177"," 34002280",5,340022,"uttarakhand","poorer","uttarkashi","hindu","scheduled caste",5,"female","1","no education, preschool","registered","no","secondary"
"178"," 34002293",9,340022,"uttarakhand","poorer","uttarkashi","hindu","scheduled caste",7,"male","4","no education, preschool","has certificate","no","no education"
"179"," 34002331",10,340023,"uttarakhand","richest","dehradun","hindu","scheduled caste",9,"male","4","no education, preschool","has certificate","no","secondary"
"180"," 34002342",6,340023,"uttarakhand","richest","dehradun","hindu","scheduled caste",6,"male","3","no education, preschool","has certificate","no","higher"
"181"," 34002356",6,340023,"uttarakhand","richest","dehradun","hindu","scheduled caste",5,"female","2","no education, preschool","has certificate","no","higher"
"182"," 34002408",6,340024,"uttarakhand","richer","dehradun","hindu","scheduled caste",5,"male","3","no education, preschool","has certificate","no","no education"
"183"," 34002408",6,340024,"uttarakhand","richer","dehradun","hindu","scheduled caste",6,"female","1","no education, preschool","neither certificate or registered","no","no education"
"184"," 34002437",7,340024,"uttarakhand","richest","dehradun","hindu","none of above",6,"female","4","no education, preschool","has certificate","yes","higher"
"185"," 34002439",7,340024,"uttarakhand","richest","dehradun","hindu","none of above",5,"female","0","no education, preschool","has certificate","no","higher"
"186"," 34002444",8,340024,"uttarakhand","richest","dehradun","hindu","none of above",8,"female","2","no education, preschool","has certificate","no","higher"
"187"," 34002454",4,340024,"uttarakhand","richest","dehradun","hindu","none of above",4,"male","3","no education, preschool","has certificate","no","secondary"
"188"," 34002470",4,340024,"uttarakhand","richest","dehradun","hindu","scheduled caste",4,"female","4","no education, preschool","has certificate","no","primary"
"189"," 34002497",7,340024,"uttarakhand","richer","dehradun","hindu","other backward class",6,"female","4","no education, preschool","has certificate","yes","secondary"
"190"," 34002509",3,340025,"uttarakhand","richer","hardwar","hindu","none of above",3,"male","0","no education, preschool","has certificate","no","secondary"
"191"," 34002549",5,340025,"uttarakhand","richer","hardwar","hindu","scheduled caste",5,"female","0","no education, preschool","has certificate","no","secondary"
"192"," 34002556",4,340025,"uttarakhand","richer","hardwar","hindu","none of above",4,"female","2","no education, preschool","has certificate","no","higher"
"193"," 34002577",9,340025,"uttarakhand","richer","hardwar","hindu","none of above",6,"female","1","no education, preschool","has certificate","no","secondary"
"194"," 34002577",9,340025,"uttarakhand","richer","hardwar","hindu","none of above",9,"male","3","no education, preschool","has certificate","no","secondary"
"195"," 34002597",3,340025,"uttarakhand","richest","hardwar","hindu","other backward class",3,"male","3","no education, preschool","has certificate","no","secondary"
"196"," 34002617",7,340026,"uttarakhand","richest","udham singh nagar","muslim","scheduled caste",5,"female","3","no education, preschool","neither certificate or registered","no","no education"
"197"," 34002617",7,340026,"uttarakhand","richest","udham singh nagar","muslim","scheduled caste",6,"male","2","no education, preschool","neither certificate or registered","no","no education"
"198"," 34002621",7,340026,"uttarakhand","middle","udham singh nagar","hindu","scheduled caste",7,"male","0","no education, preschool","has certificate","no","no education"
"199"," 34002628",5,340026,"uttarakhand","middle","udham singh nagar","muslim","scheduled tribe",3,"female","4","no education, preschool","neither certificate or registered","no","primary"
"200"," 34002628",5,340026,"uttarakhand","middle","udham singh nagar","muslim","scheduled tribe",4,"female","3","no education, preschool","neither certificate or registered","no","primary"
"201"," 34002628",5,340026,"uttarakhand","middle","udham singh nagar","muslim","scheduled tribe",5,"male","1","no education, preschool","neither certificate or registered","no","primary"
"202"," 34002648",5,340026,"uttarakhand","middle","udham singh nagar","hindu","don't know",5,"female","3","no education, preschool","has certificate","no","no education"
"203"," 34002679",6,340026,"uttarakhand","richer","udham singh nagar","muslim","none of above",6,"female","4","no education, preschool","registered","no","primary"
"204"," 34002687",10,340026,"uttarakhand","middle","udham singh nagar","hindu","scheduled caste",9,"male","2","no education, preschool","neither certificate or registered","no","no education"
"205"," 34002687",10,340026,"uttarakhand","middle","udham singh nagar","hindu","scheduled caste",10,"female","0","no education, preschool","neither certificate or registered","no","no education"
"206"," 34002695",5,340026,"uttarakhand","middle","udham singh nagar","muslim","other backward class",5,"male","2","no education, preschool","neither certificate or registered","no","no education"
"207"," 34002696",9,340026,"uttarakhand","middle","udham singh nagar","muslim","don't know",9,"male","4","no education, preschool","neither certificate or registered","no","no education"
"208"," 34002699",6,340026,"uttarakhand","middle","udham singh nagar","muslim","scheduled caste",5,"female","3","no education, preschool","neither certificate or registered","no","no education"
